nome,telefone,email,gasto
Kora Barlthrop,915-396-8590,kbarlthrop0@wikispaces.com,2413
Bunnie Argue,587-349-6064,bargue1@go.com,15326
Cornie Sabberton,964-481-3879,csabberton2@wikia.com,19537
Georgianna Gott,634-829-9172,ggott3@seattletimes.com,10557
Dorey Lawday,555-312-3846,dlawday4@fda.gov,12902
Pegeen Gillitt,246-277-8175,pgillitt5@answers.com,16169
Martainn Swinley,343-315-9893,mswinley6@salon.com,9682
Helyn Tedder,730-265-3801,htedder7@wiley.com,7593
Guilbert Mawby,196-706-1144,gmawby8@123-reg.co.uk,9867
Siobhan Frackiewicz,880-235-6337,sfrackiewicz9@cisco.com,4936
Rebe Lalonde,702-541-9906,rlalondea@google.pl,16416
Matthieu Gorick,773-510-2408,mgorickb@bloglines.com,17111
Agace Wornham,158-316-4428,awornhamc@dagondesign.com,15720
Alex Feehery,365-374-9847,afeeheryd@engadget.com,1422
Antonia Durward,321-393-8562,adurwarde@flickr.com,15840
Tommy Syddall,178-233-2231,tsyddallf@zdnet.com,13116
Delcina Greatland,289-150-6434,dgreatlandg@dyndns.org,16450
Agnese Longshaw,788-272-3922,alongshawh@mozilla.com,19083
Alejandro Yashin,526-931-5993,ayashini@utexas.edu,13545
Stearne Ungerechts,565-875-8350,sungerechtsj@livejournal.com,15205
Charley Palmer,634-364-4957,cpalmerk@google.com.br,17090
Nikos Bridgwater,797-490-6724,nbridgwaterl@auda.org.au,883
Lionello Bortolussi,674-846-1682,lbortolussim@forbes.com,14253
Fabiano Burbridge,970-403-6547,fburbridgen@state.tx.us,12445
Julia Minguet,417-595-7387,jmingueto@yolasite.com,15151
Ettore Filon,927-265-9404,efilonp@i2i.jp,6667
Karen McCroft,638-524-9354,kmccroftq@businessinsider.com,3928
Zelma O'Feeny,320-778-2083,zofeenyr@washington.edu,18775
Sibel Fulk,805-966-7601,sfulks@uiuc.edu,15206
Justine Harrap,529-729-0997,jharrapt@dyndns.org,12213
